playerID,name,year,loc,numgames,totalwinnings,state,studentflag,lat,lon
7063,Ellen Eichner,2010,"the Ohio State University from Northbrook, Illinois",2,39202,illinois,TRUE,,
412,John Fedoryn,1998,"Chicago, Illinois",1,1000,illinois,,41.8755546,-87.6244212
2420,Grace Veach,1997,"Decatur, Illinois",10,105000,illinois,,39.8628075,-88.89387182
7843,John Baker,2012,"Dixon, Illinois",2,22600,illinois,,41.842224,-89.4815485
1608,Paul Callaway,2006,"Chicago, Illinois",2,26600,illinois,,41.8755546,-87.6244212
2848,Michael Steele,1997,"Chicago, Illinois",2,21000,illinois,,41.8755546,-87.6244212
536,Gina Ruttle,1997,"Palos Park, Illinois",1,1,illinois,,41.6672547,-87.8303316
535,Dane Garrett,1985,"Collinsville, Illinois",1,0,illinois,,38.6703267,-89.9845476
3294,Jennifer O'Brien,1999,"Lake Forest, Illinois",1,1,illinois,,42.2586342,-87.840625
7547,Kara Spak,2010,"Chicago, Illinois",8,192008,illinois,,41.8755546,-87.6244212
6166,Ina Jazic,2003,"Bolingbrook, Illinois",1,0,illinois,TRUE,41.7003302,-88.0717708
5284,Suzanne LaVere,2004,"Evanston, Illinois",1,6600,illinois,,42.0447388,-87.6930459
7047,Molly Adams,2010,"Chicago, Illinois",1,2399,illinois,,41.8755546,-87.6244212
1019,Gunther Freehill,1990,"Melvin, Illinois",1,1800,illinois,,40.5675346,-88.2478272
5708,Nikki Lindsey,2003,"Urbana, Illinois",1,50,illinois,,40.1117174,-88.207301
1054,Andy Gedo,1990,"Chicago, Illinois",1,14600,illinois,,41.8755546,-87.6244212
1274,Kecia Lynn,1996,"Chicago, Illinois",1,4399,illinois,,41.8755546,-87.6244212
517,Lynne Wexler,1991,"Evanston, Illinois",3,61800,illinois,,42.0447388,-87.6930459
6531,Cynthia Dvorak,2004,"Chicago, Illinois",1,0,illinois,,41.8755546,-87.6244212
8298,Joan Kossack,2013,"Carol Stream, Illinois",1,16800,illinois,,41.9125286,-88.1347927
3878,P.D. Wadler,1998,"Chicago, Illinois",2,18400,illinois,,41.8755546,-87.6244212
8474,Ravi Saxena,2013,"Chicago, Illinois",1,5900,illinois,,41.8755546,-87.6244212
8473,Sara Fox,1987,"Chicago, Illinois",1,100,illinois,,41.8755546,-87.6244212
7564,Morgan Polikoff,2011,"Hinsdale, Illinois",2,50000,illinois,,41.8008642,-87.9370052
5930,Matt Kohlstedt,2009,"La Grange, Illinois",8,168000,illinois,,41.8054577,-87.8748644
3493,Noel Steere,2002,"Chicago, Illinois",1,0,illinois,,41.8755546,-87.6244212
7360,Maggie Berndt,2011,"Chicago, Illinois",1,0,illinois,,41.8755546,-87.6244212
7367,Joanna Liff,2011,"Chicago, Illinois",1,16801,illinois,,41.8755546,-87.6244212
9002,Colby Burnett,2012,"Chicago, Illinois",11,220011,illinois,,41.8755546,-87.6244212
7795,Kevin Rowe,2012,"Chicago, Illinois",1,4099,illinois,,41.8755546,-87.6244212
5695,Eric Tengler,2003,"Chicago, Illinois",1,0,illinois,,41.8755546,-87.6244212
3267,Susan Ferrari,2007,"Chicago, Illinois",1,3800,illinois,,41.8755546,-87.6244212
7946,Kate Mosesso,2012,"Chicago, Illinois",1,0,illinois,,41.8755546,-87.6244212
1204,Susan Klak,2005,"Plainfield, Illinois",1,4100,illinois,,41.623191,-88.22843248
8274,Steve Rininger,2013,"Chicago, Illinois",2,44400,illinois,,41.8755546,-87.6244212
8271,David Rice,1990,"Clarendon Hills, Illinois",1,0,illinois,,41.7975307,-87.9547835
466,Michael Collin,1998,"Barrington, Illinois",2,39200,illinois,,42.1539141,-88.1361888
7589,Patty Meagher,1989,"Chicago, Illinois",1,0,illinois,,41.8755546,-87.6244212
7580,Jan Zasowski,2011,"Chicago, Illinois",3,80403,illinois,,41.8755546,-87.6244212
7582,Bhibha Das,2011,"Mt. Zion, Illinois",3,60603,illinois,,39.7714252,-88.8742406
1184,Steve O'Connor,2005,"Naperville, Illinois",3,57003,illinois,,41.7729107,-88.147867
5266,Bob Vavra,2002,"Woodridge, Illinois",1,100,illinois,,41.7473663,-88.046129
6666,Debra Dondrea Galant,2004,"Grayslake, Illinois",1,7400,illinois,,42.3433518,-88.0412192
1878,Gary Tish,1998,"Decatur, Illinois",2,27200,illinois,,39.8628075,-88.89387182
2118,Pete Heinricher,1999,"Urbana, Illinois",1,9401,illinois,,40.1117174,-88.207301
2112,Doug O'Brien,2006,"Chicago, Illinois",1,500,illinois,,41.8755546,-87.6244212
2114,Laura Rhodes,1999,"Chicago, Illinois",2,18402,illinois,,41.8755546,-87.6244212
3287,Paul McGonagle,1999,"Schaumburg, Illinois",2,14400,illinois,,42.0333608,-88.083406
6865,Jill Kaiser,2003,"Edgington, Illinois",3,26403,illinois,,41.3869765,-90.763753
6861,Joshua Weiss,2010,"Chicago, Illinois",1,5999,illinois,,41.8755546,-87.6244212
3284,Cathy Nieng,1999,"Chicago, Illinois",1,1000,illinois,,41.8755546,-87.6244212
8436,Benjamin Recchie,2013,"Chicago, Illinois",1,6,illinois,,41.8755546,-87.6244212
5689,Helene Glass,2008,"Chicago, Illinois",1,1,illinois,,41.8755546,-87.6244212
5683,Daniel Ogorzalek,2008,"Schaumburg, Illinois",1,30800,illinois,,42.0333608,-88.083406
5970,Michael O'Malley,2009,"Chicago, Illinois",2,30000,illinois,,41.8755546,-87.6244212
2584,Tommy Hoyt,2006,"Winnetka, Illinois",1,26300,illinois,,42.1080834,-87.7358951
2630,Sharon Wing,2006,"Rock Island, Illinois",1,-400,illinois,,41.5094771,-90.5787477
3540,Scott Hatton,2002,"Mundelein, Illinois",1,15995,illinois,,42.263079,-88.0039653
760,Cherie Christopher,1994,"Glen Ellyn, Illinois",1,500,illinois,,41.8775293,-88.0670118
1077,Dave McCarthy,1990,"Chicago, Illinois",1,1399,illinois,,41.8755546,-87.6244212
5180,Leatrice Potter,2004,"Olney, Illinois",1,12800,illinois,,38.7296538,-88.0846891
6602,Mike Weaver,2004,"Glencoe, Illinois",1,4300,illinois,,42.1350268,-87.7581188
6604,Brian Chang,2010,"Oak Park, Illinois",1,10799,illinois,,41.8850317,-87.7845025
1045,Glenda Wells,1990,"Dahlgren, Illinois",1,8000,illinois,,38.1981041,-88.6845019
3734,Kirsten Edwards,2000,"Chicago, Illinois",3,11700,illinois,,41.8755546,-87.6244212
4927,Joan Williams,1999,"Chicago, Illinois",2,11100,illinois,TRUE,41.8755546,-87.6244212
5161,Tom Kelso,2002,"Chicago, Illinois",4,115204,illinois,,41.8755546,-87.6244212
1799,Dana Venator,1998,"Chicago, Illinois",1,10799,illinois,,41.8755546,-87.6244212
1267,Amy O'Brien,1996,"Prospect Heights, Illinois",2,17202,illinois,,42.0953049,-87.9375694
6847,Nancy Williams,2010,"Chicago, Illinois",1,7300,illinois,,41.8755546,-87.6244212
8233,David Brent,1995,"Oak Park, Illinois",1,2799,illinois,,41.8850317,-87.7845025
8232,Jon Gucinski,2013,"Naperville, Illinois",1,18601,illinois,,41.7729107,-88.147867
3094,Tim O'Brien,2001,"Chicago, Illinois",1,2999,illinois,,41.8755546,-87.6244212
7380,Jeff Fleischer,2011,"Deerfield, Illinois",1,1,illinois,,42.1711365,-87.8445119
3564,Eileen Loechel,2007,"River Forest, Illinois",2,39600,illinois,,41.8978091,-87.8139483
3156,Carl Brownell,2001,"Evanston, Illinois",2,6000,illinois,,42.0447388,-87.6930459
6627,Ellie O'Donnell,2004,"Bloomington, Illinois",2,19600,illinois,,40.4731073,-88.9941403
2339,Darlyne Delaney,1997,"Chicago, Illinois",1,0,illinois,,41.8755546,-87.6244212
5144,Marty Brophy,1992,"Urbana, Illinois",1,14400,illinois,,40.1117174,-88.207301
5141,Steve Saum,1992,"Chicago, Illinois",1,3201,illinois,,41.8755546,-87.6244212
1187,Bob Johnson,2005,"Wheaton, Illinois",1,1,illinois,,41.8639233,-88.1129507
7247,Kristi Myers,2011,"Altamont, Illinois",1,5600,illinois,,38.9231036,-90.2098327
7245,Ethan Dougherty,2011,"Chicago, Illinois",1,10001,illinois,,41.8755546,-87.6244212
8813,Tiffany Gholar,2013,"Chicago, Illinois",2,12798,illinois,,41.8755546,-87.6244212
8818,Debbie Singer,2013,"Evanston, Illinois",1,2399,illinois,,42.0447388,-87.6930459
7657,Lynn Hammerlund,2012,"Lake in the Hills, Illinois",2,45000,illinois,,42.1816908,-88.3303618
1510,Brian Nafziger,1997,"Urbana, Illinois",1,8200,illinois,,40.1117174,-88.207301
263,Anne Shivers,2005,"Peotone, Illinois",4,49596,illinois,TRUE,41.3322554,-87.7853217
9087,Mia Diamond,1988,"Chicago, Illinois",1,1300,illinois,TRUE,41.8755546,-87.6244212
9085,Brandon Barnes,2014,"Park Forest, Illinois",1,-1000,illinois,,41.4914236,-87.6744891
1209,Joey Bland,2005,"Chicago, Illinois",3,81000,illinois,,41.8755546,-87.6244212
1165,John Fitzgibbon,1996,"Chicago, Illinois",1,1600,illinois,,41.8755546,-87.6244212
8553,Liz Kelly,2013,"Chicago, Illinois",1,99,illinois,,41.8755546,-87.6244212
8555,Dawn Owens-Nicholson,2013,"Champaign, Illinois",1,21000,illinois,,40.1164205,-88.2433829
8004,Daniel Pasquini-Salazar,2012,"Chicago, Illinois",1,1,illinois,,41.8755546,-87.6244212
8007,Margaret Minett-Longdon,2012,"Winnebago, Illinois",1,8800,illinois,,42.3255276,-89.1496574
2316,Christine Walker,2002,"Evanston, Illinois",1,0,illinois,,42.0447388,-87.6930459
3777,Katy Hardy,2007,"Cuba, Illinois",1,7600,illinois,,40.4928181,-90.1906768
4656,Adrienne Horrigan,2008,"Chicago, Illinois",1,1000,illinois,,41.8755546,-87.6244212
7883,Eileen Quinlan,1998,"Chicago, Illinois",1,8400,illinois,,41.8755546,-87.6244212
7882,Anna-Lise Santella,2012,"Trout Valley, Illinois",3,46200,illinois,,42.1980798,-88.2534159
8832,Jerry Slowik,2013,"Arlington Heights, Illinois",6,139194,illinois,,42.0812678,-87.9800662
7678,Anne Rozek,2012,"Perry, Illinois",1,11500,illinois,TRUE,38.0772859,-89.3760499
